,doi,url,full_doc_link,is_open_access,label_level_1,label_level_2,label_level_3,journal,literature_site,unnamed: 11,label,text
29,10.1073/pnas.0806604105,https://www.pnas.org/content/105/45/17362,https://www.pnas.org/content/105/45/17362.full.pdf,True,['Chemically modify or Change energy state'],['Chemically assemble'],['Chemically assemble organic compounds'],"['Journal of the American Chemical Society', 'PNAS']",www.pnas.org,,-1,"Transformation mechanism of amorphous calcium carbonate into calcite in the sea urchin larval spicule Sea urchin larval spicules transform amorphous calcium carbonate (ACC) into calcite single crystals. The mechanism of transformation is enigmatic: the transforming spicule displays both amorphous and crystalline properties, with no defined crystallization front. Here, we use X-ray photoelectron emission spectromicroscopy with probing size of 40–200 nm. We resolve 3 distinct mineral phases: An initial short-lived, presumably hydrated ACC phase, followed by an intermediate transient form of ACC, and finally the biogenic crystalline calcite phase. The amorphous and crystalline phases are juxtaposed, often appearing in adjacent sites at a scale of tens of nanometers. We propose that the amorphous-crystal transformation propagates in a tortuous path through preexisting 40- to 100-nm amorphous units, via a secondary nucleation mechanism."
30,10.1073/pnas.1016157108,https://www.pnas.org/content/108/14/5897,https://www.pnas.org/content/108/14/5897.full.pdf,True,"['Protect from harm', 'Chemically modify or Change energy state']","['Protect from living threats', 'Chemically break down']","['Protect from animals', 'Chemically break down organic compounds']",['PNAS'],www.pnas.org,,-1,"Adaptive evolution of threonine deaminase in plant defense against insect herbivores Gene duplication is a major source of plant chemical diversity that mediates plant–herbivore interactions. There is little direct evidence, however, that novel chemical traits arising from gene duplication reduce herbivory. Higher plants use threonine deaminase (TD) to catalyze the dehydration of threonine (Thr) to α-ketobutyrate and ammonia as the committed step in the biosynthesis of isoleucine (Ile). Cultivated tomato and related Solanum species contain a duplicated TD paralog (TD2) that is coexpressed with a suite of genes involved in herbivore resistance. Analysis of TD2-deficient tomato lines showed that TD2 has a defensive function related to Thr catabolism in the gut of lepidopteran herbivores. During herbivory, the regulatory domain of TD2 is removed by proteolysis to generate a truncated protein (pTD2) that efficiently degrades Thr without being inhibited by Ile. We show that this proteolytic activation step occurs in the gut of lepidopteran but not coleopteran herbivores, and is catalyzed by a chymotrypsin-like protease of insect origin. Analysis of purified recombinant enzymes showed that TD2 is remarkably more resistant to proteolysis and high temperature than the ancestral TD1 isoform. The crystal structure of pTD2 provided evidence that electrostatic interactions constitute a stabilizing feature associated with adaptation of TD2 to the extreme environment of the lepidopteran gut. These findings demonstrate a role for gene duplication in the evolution of a plant defense that targets and co-opts herbivore digestive physiology."
31,10.1529/biophysj.107.128389,https://www.sciencedirect.com/science/article/pii/S0006349508786247,https://www.sciencedirect.com/science/article/pii/S0006349508786247/pdfft,True,['Maintain structural integrity'],['Manage structural forces'],['Manage stress/strain'],['Biophysical Journal'],www.sciencedirect.com,,-1,"Cartilage aggrecan can undergo self-adhesion. Here it is reported that aggrecan, the highly negatively charged macromolecule in the cartilage extracellular matrix, undergoes Ca(2+)-mediated self-adhesion after static compression even in the presence of strong electrostatic repulsion in physiological-like solution conditions. Aggrecan was chemically end-attached onto gold-coated planar silicon substrates and gold-coated microspherical atomic force microscope probe tips (end radius R approximately 2.5 mum) at a density ( approximately 40 mg/mL) that simulates physiological conditions in the tissue ( approximately 20-80 mg/mL). Colloidal force spectroscopy was employed to measure the adhesion between opposing aggrecan monolayers in NaCl (0.001-1.0 M) and NaCl + CaCl(2) ([Cl(-)] = 0.15 M, [Ca(2+)] = 0 - 75 mM) aqueous electrolyte solutions. Aggrecan self-adhesion was found to increase with increasing surface equilibration time upon compression (0-30 s). Hydrogen bonding and physical entanglements between the chondroitin sulfate-glycosaminoglycan side chains are proposed as important factors contributing to aggrecan self-adhesion. Self-adhesion was found to significantly increase with decreasing bath ionic strength (and hence, electrostatic double-layer repulsion), as well as increasing Ca(2+) concentration due to the additional ion-bridging effects. It is hypothesized that aggrecan self-adhesion, and the macromolecular energy dissipation that results from this self-adhesion, could be important factors contributing to the self-assembled architecture and integrity of the cartilage extracellular matrix in vivo."
32,10.1098/rsbl.2010.0916,https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.0916,https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.0916,True,['Protect from harm'],['Protect from living threats'],['Protect from animals'],"['Biology Letters', 'Journal of Fish Biology']",royalsocietypublishing.org,,-1,"Fish mucous cocoons: the ‘mosquito nets’ of the sea Mucus performs numerous protective functions in vertebrates, and in fishes may defend them against harmful organisms, although often the evidence is contradictory. The function of the mucous cocoons that many parrotfishes and wrasses sleep in, while long used as a classical example of antipredator behaviour, remains unresolved. Ectoparasitic gnathiid isopods (Gnathiidae), which feed on the blood of fish, are removed by cleaner fish during the day; however, it is unclear how parrotfish and wrasse avoid gnathiid attacks at night. To test the novel hypothesis that mucous cocoons protect against gnathiids, we exposed the coral reef parrotfish Chlorurus sordidus (Scaridae) with and without cocoons to gnathiids overnight and measured the energetic content of cocoons. Fish without mucous cocoons were attacked more by gnathiids than fish with cocoons. The energetic content of mucous cocoons was estimated as 2.5 per cent of the fish's daily energy budget fish. Therefore, mucous cocoons protected against attacks by gnathiids, acting like mosquito nets in humans, a function of cocoons and an efficient physiological adaptation for preventing parasite infestation that is not used by any other animal."
33,10.1242/jeb.01312,https://jeb.biologists.org/content/207/26/4633,https://journals.biologists.com/jeb/article-pdf/207/26/4633/1546733/4633.pdf,True,['Protect from harm'],['Protect from non-living threats'],['Protect from temperature'],['Journal of Experimental Biology (JEB)'],jeb.biologists.org,,-1,"Cold-stable eye lens crystallins of the Antarctic nototheniid toothfish Dissostichus mawsoni Norman SUMMARY The eye lenses of the Antarctic nototheniid fishes that inhabit the perennially freezing Antarctic seawater are transparent at –2°C, whereas the cold-sensitive mammalian and tropical fish lenses display cold-induced cataract at 20°C and 7°C, respectively. No cold-cataract occurs in the giant Antarctic toothfish Dissostichus mawsoni lens when cooled to temperatures as low as –12°C, indicating highly cold-stable lens proteins. To investigate this cold stability, we characterised the lens crystallin proteins of the Antarctic toothfish, in parallel with those of the sub-tropical bigeye tuna Thunnus obesus and the endothermic cow Bos taurus, representing three disparate thermal climes (–2°C, 18°C and 37°C, respectively). Sizing chromatography resolved their lens crystallins into three groups,α /βH, β and γ, with γ crystallins being the most abundant (>40%) lens proteins in fish, in contrast to the cow lens where they comprise only 19%. The upper thermal stability of these crystallin components correlated with the body temperature of the species. In vitro chaperone assays showed that fish α crystallin can protect same-species γ crystallins from heat denaturation, as well as lysozyme from DTT-induced unfolding, and therefore are small Heat Shock Proteins (sHSP) like their mammalian counterparts. Dynamic light scattering measured an increase in size of αγ crystallin mixtures upon heating, which supports formation of the αγ complex as an integral part of the chaperone process. Surprisingly, in cross-species chaperone assays, tunaα crystallins only partly protected toothfish γ crystallins, while cow α crystallins completely failed to protect, indicating partial and no αγ interaction, respectively. Toothfish γ was likely to be the component that failed to interact, as the supernatant from a cowα plus toothfish γ incubation could chaperone cow γ crystallins in a subsequent heat incubation, indicating the presence of uncomplexed cow α. This suggests that the inability of toothfish γ crystallins to fully complex with tuna α, and not at all with the cowα crystallins, may have its basis in adaptive changes in the protein that relate to the extreme cold-stability of the toothfish lens."
34,10.1242/jeb.096909,https://jeb.biologists.org/content/217/8/1263,https://journals.biologists.com/jeb/article-pdf/217/8/1263/1883211/1263.pdf,True,"['Change size or color', 'Physically assemble/disassemble', 'Protect from harm']","['Change size/shape', 'Optimize shape/materials', 'Protect from living threats']",['Protect from animals'],"[""Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior"", 'Journal of Experimental Biology (JEB)', 'Scientific Reports']",jeb.biologists.org,,-1,"Spontaneous unraveling of hagfish slime thread skeins is mediated by a seawater-soluble protein adhesive Hagfishes are known for their ability to rapidly produce vast quantities of slime when provoked. The slime is formed via the interaction between seawater and two components released by the slime glands: mucin vesicles from gland mucous cells, which swell and rupture in seawater to form a network of mucus strands, and intermediate filament-rich threads, which are produced within gland thread cells as tightly coiled bundles called skeins. A previous study showed that the unraveling of skeins from Atlantic hagfish (Myxine glutinosa) requires both the presence of mucins and hydrodynamic mixing. In contrast, skeins from Pacific hagfish (Eptatretus stoutii) unravel in the absence of both mucins and mixing. We tested the hypothesis that spontaneous unraveling of E. stoutii skeins is triggered by the dissolution of a seawater-soluble protein adhesive and the release of stored strain energy within the coiled thread. Here we show that, as predicted by this hypothesis, unraveling can be initiated by a protease under conditions in which unraveling does not normally occur. We also demonstrate, using high resolution scanning electron microscopy, that the treatment of skeins with solutions that cause unraveling also leads to the disappearance of surface and inter-thread features that remain when skeins are washed with stabilizing solutions. Our study provides a mechanism for the deployment of thread skeins in Pacific hagfish slime, and raises the possibility of producing novel biomimetic protein adhesives that are salt, temperature and kosmotrope sensitive."
35,10.1093/icb/42.6.1127,https://academic.oup.com/icb/article/42/6/1127/698299,https://academic.oup.com//icb/article-pdf/42/6/1127/2055268/i1540-7063-042-06-1127.pdf,False,['Attach'],['Attach temporarily'],,"['For the Love of Insects', 'PNAS', 'Integrative and Comparative Biology']",academic.oup.com,,-1,"Structural Design and Biomechanics of Friction-Based Releasable Attachment Devices in Insects1 Abstract Design of attachment devices in insects varies enormously in relation to different functional loads. Many systems, located on different parts of the body, involve surfaces with particular frictional properties. Such systems evolved to attach parts of the body to each other, or to attach an insect to the substratum by providing fast and reversible attachment/detachment. Among these systems, there are some that deal with predefined surfaces, and others, in which one surface remains unpredictable. The first type of system occurs, for example, in wing-locking devices and head-arresting systems and is called probabilistic fasteners. The second type is mainly represented by insect attachment pads of two alternative designs: hairy and smooth. The relationship between surface patterns and/or mechanical properties of materials of contact pairs results in two main working principles of the frictional devices: mechanical interlocking, or maximization of the contact area. We give an overview of the functional design of two main groups of friction-based attachment devices in insects: probabilistic fasteners and attachment pads."
36,10.2307/1543529,https://www.journals.uchicago.edu/doi/10.2307/1543529,https://www.journals.uchicago.edu//doi/full/10.2307/1543529,False,"['Attach', 'Process resources', 'Maintain ecological community']","['Attach temporarily', 'Distribute resources', 'Expel resources', 'Individual benefit']","['Distribute solids', 'Expel solids', 'Regulate reproduction or growth']","['Journal of Experimental Biology (JEB)', 'Limnology and Oceanography', 'The Biological Bulletin']",www.journals.uchicago.edu,,-1,"Egg Longevity and Time-Integrated Fertilization in a Temperate Sea Urchin (Strongylocentrotus droebachiensis) Recent field experiments have suggested that fertilization levels in sea urchins (and other broadcast spawners that release their gametes into the water column) may often be far below 100%. However, past experiments have not considered the potentially positive combined effects of an extended period of egg longevity and the release of gametes in viscous fluids (which reduces dilution rates). In a laboratory experiment, we found that eggs of the sea urchin Strongylocentrotus droebachiensis had high viability for 2 to 3 d. Fertilization levels of eggs held in sperm-permeable egg baskets in the field and exposed to sperm slowly diffusing off a spawning male increased significantly with exposure from 15 min to 3 h. In a field survey of time-integrated fertilizations (over 24, 48, and 72 h) during natural sperm release events, eggs held in baskets accrued fertilizations over as much as 48 h and attained fairly high fertilization levels. Our results suggest that an extended period of egg longevity and the release of gametes in viscous fluids may result in higher natural fertilization levels than currently expected from short-term field experiments."
37,10.1242/jeb.046706,https://jeb.biologists.org/content/213/22/3920,https://journals.biologists.com/jeb/article-pdf/213/22/3920/1272646/3920.pdf,True,"['Attach', 'Move']","['Attach temporarily', 'Active movement']",['Actively move through/on solids'],['Journal of Experimental Biology (JEB)'],jeb.biologists.org,,-1,"The mechanics of the adhesive locomotion of terrestrial gastropods SUMMARY Research on the adhesive locomotion of terrestrial gastropods is gaining renewed interest as it provides a source of guidance for the design of soft biomimetic robots that can perform functions currently not achievable by conventional rigid vehicles. The locomotion of terrestrial gastropods is driven by a train of periodic muscle contractions (pedal waves) and relaxations (interwaves) that propagate from their tails to their heads. These ventral waves interact with a thin layer of mucus secreted by the animal that transmits propulsive forces to the ground. The exact mechanism by which these propulsive forces are generated is still a matter of controversy. Specifically, the exact role played by the complex rheological and adhesive properties of the mucus is not clear. To provide quantitative data that could shed light on this question, we use a newly developed technique to measure, with high temporal and spatial resolution, the propulsive forces that terrestrial gastropods generate while crawling on smooth flat surfaces. The traction force measurements demonstrate the importance of the finite yield stress of the mucus in generating thrust and are consistent with the surface of the ventral foot being lifted with the passage of each pedal wave. We also show that a forward propulsive force is generated beneath each stationary interwave and that this net forward component is balanced by the resistance caused by the outer rim of the ventral foot, which slides at the speed of the center of mass of the animal. Simultaneously, the animal pulls the rim laterally inward. Analysis of the traction forces reveals that the kinematics of the pedal waves is far more complex than previously thought, showing significant spatial variation (acceleration/deceleration) as the waves move from the tail to the head of the animal."
38,10.1038/nature03647,https://www.nature.com/articles/nature03647,https://www.nature.com/articles/nature03647.pdf,True,['Move'],['Active movement'],['Actively move through gases'],"['Nature', 'Proceedings of the Royal Society B', 'Journal of the Royal Society Interface']",www.nature.com,,-1,"Aerodynamics of the hovering hummingbird Despite profound musculoskeletal differences, hummingbirds (Trochilidae) are widely thought to employ aerodynamic mechanisms similar to those used by insects. The kinematic symmetry of the hummingbird upstroke and downstroke has led to the assumption that these halves of the wingbeat cycle contribute equally to weight support during hovering, as exhibited by insects of similar size. This assumption has been applied, either explicitly or implicitly, in widely used aerodynamic models and in a variety of empirical tests. Here we provide measurements of the wake of hovering rufous hummingbirds (Selasphorus rufus) obtained with digital particle image velocimetry that show force asymmetry: hummingbirds produce 75% of their weight support during the downstroke and only 25% during the upstroke. Some of this asymmetry is probably due to inversion of their cambered wings during upstroke. The wake of hummingbird wings also reveals evidence of leading-edge vortices created during the downstroke, indicating that they may operate at Reynolds numbers sufficiently low to exploit a key mechanism typical of insect hovering. Hummingbird hovering approaches that of insects, yet remains distinct because of effects resulting from an inherently dissimilar—avian—body plan."
39,10.1073/pnas.0705459104,https://www.pnas.org/content/104/36/14383,https://www.pnas.org/content/104/36/14383.full.pdf,True,['Maintain ecological community'],['Individual benefit'],"['Cooperate within/between species', 'Regulate reproduction or growth']","['PNAS', 'Behavioral Ecology and Sociobiology', 'The Bees of the World, Second Edition', ""The Beekeeper's Handbook""]",www.pnas.org,,-1,"A honey bee odorant receptor for the queen substance 9-oxo-2-decenoic acid By using a functional genomics approach, we have identified a honey bee [Apis mellifera (Am)] odorant receptor (Or) for the queen substance 9-oxo-2-decenoic acid (9-ODA). Honey bees live in large eusocial colonies in which a single queen is responsible for reproduction, several thousand sterile female worker bees complete a myriad of tasks to maintain the colony, and several hundred male drones exist only to mate. The “queen substance” [also termed the queen retinue pheromone (QRP)] is an eight-component pheromone that maintains the queen's dominance in the colony. The main component, 9-ODA, acts as a releaser pheromone by attracting workers to the queen and as a primer pheromone by physiologically inhibiting worker ovary development; it also acts as a sex pheromone, attracting drones during mating flights. However, the extent to which social and sexual chemical messages are shared remains unresolved. By using a custom chemosensory-specific microarray and qPCR, we identified four candidate sex pheromone Ors (AmOr10, -11, -18, and -170) from the honey bee genome based on their biased expression in drone antennae. We assayed the pheromone responsiveness of these receptors by using Xenopus oocytes and electrophysiology. AmOr11 responded specifically to 9-ODA (EC50 = 280 ± 31 nM) and not to any of the other seven QRP components, other social pheromones, or floral odors. We did not observe any responses of the other three Ors to any of the eight QRP pheromone components, suggesting 9-ODA is the only QRP component that also acts as a long-distance sex pheromone."
40,10.1098/rspb.2008.1860,https://royalsocietypublishing.org/doi/10.1098/rspb.2008.1860,https://royalsocietypublishing.org/doi/10.1098/rspb.2008.1860,True,['Sense send or process information'],['Process signals'],"['Respond to signals', 'Sense chemicals']",['Proceedings of the Royal Society B'],royalsocietypublishing.org,,-1,"Ants recognize foes and not friends Discriminating among individuals and rejecting non-group members is essential for the evolution and stability of animal societies. Ants are good models for studying recognition mechanisms, because they are typically very efficient in discriminating ‘friends’ (nest-mates) from ‘foes’ (non-nest-mates). Recognition in ants involves multicomponent cues encoded in cuticular hydrocarbon profiles. Here, we tested whether workers of the carpenter ant Camponotus herculeanus use the presence and/or absence of cuticular hydrocarbons to discriminate between nest-mates and non-nest-mates. We supplemented the cuticular profile with synthetic hydrocarbons mixed to liquid food and then assessed behavioural responses using two different bioassays. Our results show that (i) the presence, but not the absence, of an additional hydrocarbon elicited aggression and that (ii) among the three classes of hydrocarbons tested (unbranched, mono-methylated and dimethylated alkanes; for mono-methylated alkanes, we present a new synthetic pathway), only the dimethylated alkane was effective in eliciting aggression. Our results suggest that carpenter ants use a fundamentally different mechanism for nest-mate recognition than previously thought. They do not specifically recognize nest-mates, but rather recognize and reject non-nest-mates bearing odour cues that are novel to their own colony cuticular hydrocarbon profile. This begs for a reappraisal of the mechanisms underlying recognition systems in social insects."
41,10.1016/S0928-4931(00)00166-1,https://www.sciencedirect.com/science/article/abs/pii/S0928493100001661,https://www.sciencedirect.com/science/article/pii/S0928493100001661/pdfft,True,['Chemically modify or Change energy state'],['Chemically break down'],['Chemically break down organic compounds'],['Materials Science and Engineering'],www.sciencedirect.com,,-1,Application of P450s for biosensing: combination of biotechnology and electrochemistry Abstract P 450s are heme-containing proteins which catalyze monooxygenation and other reactions in oxidative metabolism of lipophilic compounds. They are promising enzymes for the application of biosensing probes. Biosensing of various compounds is possible when P 450s are immobilized on oxygen electrode or on ion-sensitive field effect transistor (ISFET). Competition assay with other substrate is another biosensing method based on the biochemical assay. Optical biosensor based on a resonance mirror was also reported. Genes in the upstream region of P 450 gene including the promoter is utilized to construct reporter gene system (RGS). The system responds to a trace amount of endocrine-disrupting substance to induce luciferase. Various biosensing methods with P 450s and P 450-related genes will be useful for medical application and ecological application in the near future.
42,10.1038/s41598-019-39583-7,https://www.nature.com/articles/s41598-019-39583-7,https://www.nature.com/articles/s41598-019-39583-7.pdf,True,['Protect from harm'],['Protect from living threats'],"['Protect from microbes', 'Compete within/between species', 'Manage environmental disturbances', 'Manage populations/pests/diseases']",['Scientific Reports'],www.nature.com,,-1,"Viscosin-like lipopeptides from frog skin bacteria inhibit Aspergillus fumigatus and Batrachochytrium dendrobatidis detected by imaging mass spectrometry and molecular networking Amphibian populations worldwide have declined and in some cases become extinct due to chytridiomycosis, a pandemic disease caused by the fungus Batrachochytrium dendrobatidis; however, some species have survived these fungal epidemics. Previous studies have suggested that the resistance of these species is due to the presence of cutaneous bacteria producing antifungal metabolites. As our understanding of these metabolites is still limited, we assessed the potential of such compounds against human-relevant fungi such as Aspergillus. In this work we isolated 201 bacterial strains from fifteen samples belonging to seven frog species collected in the highlands of Panama and tested them against Aspergillus fumigatus. Among the 29 bacterial isolates that exhibited antifungal activity, Pseudomonas cichorii showed the greatest inhibition. To visualize the distribution of compounds and identify them in the inhibition zone produced by P. cichorii, we employed MALDI imaging mass spectrometry (MALDI IMS) and MS/MS molecular networking. We identified viscosin and massetolides A, F, G and H in the inhibition zone. Furthermore, viscosin was isolated and evaluated in vitro against A. fumigatus and B. dendrobatidis showing MIC values of 62.50 µg/mL and 31.25 µg/mL, respectively. This is the first report of cyclic depsipeptides with antifungal activity isolated from frog cutaneous bacteria."
43,10.1098/rspb.2010.2292,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2010.2292,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2010.2292,True,"['Process resources', 'Chemically modify or Change energy state']","['Capture resources', 'Change energy state']","['Capture solids', 'Modify/convert mechanical energy']",['Proceedings of the Royal Society B'],royalsocietypublishing.org,,-1,"Ultra-fast underwater suction traps Carnivorous aquatic Utricularia species catch small prey animals using millimetre-sized underwater suction traps, which have fascinated scientists since Darwin's early work on carnivorous plants. Suction takes place after mechanical triggering and is owing to a release of stored elastic energy in the trap body accompanied by a very fast opening and closing of a trapdoor, which otherwise closes the trap entrance watertight. The exceptional trapping speed—far above human visual perception—impeded profound investigations until now. Using high-speed video imaging and special microscopy techniques, we obtained fully time-resolved recordings of the door movement. We found that this unique trapping mechanism conducts suction in less than a millisecond and therefore ranks among the fastest plant movements known. Fluid acceleration reaches very high values, leaving little chance for prey animals to escape. We discovered that the door deformation is morphologically predetermined, and actually performs a buckling/unbuckling process, including a complete trapdoor curvature inversion. This process, which we predict using dynamical simulations and simple theoretical models, is highly reproducible: the traps are autonomously repetitive as they fire spontaneously after 5–20 h and reset actively to their ready-to-catch condition."
44,10.1242/jeb.198.9.1829,https://jeb.biologists.org/content/198/9/1829,https://journals.biologists.com/jeb/article-pdf/198/9/1829/1232288/1829.pdf,True,"['Move', 'Process resources']","['Store resources', 'Active movement']","['Store energy', 'Actively move through/on solids']","['Journal of Experimental Biology (JEB)', 'American Zoologist', 'Archives of Physical Medicine and Rehabilitation', 'Collagen: Structure and Mechanics']",jeb.biologists.org,,-1,"In vivo muscle force and elastic energy storage during steady-speed hopping of tammar wallabies (Macropus eugenii) In order to evaluate the role of elastic energy recovery in the hopping of macropodids, in vivo measurements of muscle&shy;tendon forces using buckle force transducers attached to the tendons of the gastrocnemius (G), plantaris (PL) and flexor digitorum longus (FDL) of tammar wallabies were made as the animals hopped on a treadmill at speeds ranging from 2.1 to 6.3 m s-1. These muscles and tendons constitute the main structures that are most important in energy storage and recovery. Electromyographic recordings from the lateral gastrocnemius and plantaris muscles, together with high-speed films (200 frames s-1) and video (60 fields s-1), were also used to correlate muscle activation and kinematic patterns of limb movement with force development. On the basis of in situ calibrations of the buckle transducers, we found that muscle forces and elastic energy storage increased with increased hopping speed in all three muscle&shy;tendon units. Elastic energy recovery reached a maximum of 25 % of metabolic energy expenditure at 6.3 m s-1 and is probably greater than this at higher speeds. Force sharing among the three muscles was consistently maintained over this range of speeds in terms of recruitment. Although forces and stresses were generally comparable within the gastrocnemius and plantaris muscles, maximal tendon stresses were considerably greater in the gastrocnemius, because of its smaller cross-sectional area (peak muscle stress: 227 versus 262 kPa; peak tendon stress: 36 versus 32 MPa, G versus PL). As a result, energy storage was greatest in the gastrocnemius tendon despite its much shorter length, which limits its volume and, hence, energy storage capacity, compared with PL and FDL tendons. Forces and stresses (17 MPa maximum) developed within the FDL tendon were consistently much lower than those for the other two tendons. Peak stresses in these three tendons indicated safety factors of 3.0 for G, 3.3 for PL and 6.0 for FDL. The lower stresses developed within the tendons of the plantaris and, especially, the flexor digitorum longus may indicate the need to maintain sufficient stiffness for phalangeal control of foot placement, at the expense of reduced strain energy recovery."
45,10.1242/jeb.035758,https://jeb.biologists.org/content/213/3/502,https://journals.biologists.com/jeb/article-pdf/213/3/502/1272004/502.pdf,True,['Protect from harm'],['Protect from non-living threats'],['Protect from temperature'],['Journal of Experimental Biology (JEB)'],jeb.biologists.org,,-1,"Deep supercooling, vitrification and limited survival to –100°C in the Alaskan beetle Cucujus clavipes puniceus (Coleoptera: Cucujidae) larvae SUMMARY Larvae of the freeze-avoiding beetle Cucujus clavipes puniceus (Coleoptera: Cucujidae) in Alaska have mean supercooling points in winter of –35 to –42°C, with the lowest supercooling point recorded for an individual of –58°C. We previously noted that some larvae did not freeze when cooled to –80°C, and we speculated that these larvae vitrified. Here we present evidence through differential scanning calorimetry that C. c. puniceus larvae transition into a glass-like state at temperatures <–58°C and can avoid freezing to at least –150°C. This novel finding adds vitrification to the list of insect overwintering strategies. While overwintering beneath the bark of fallen trees, C. c. puniceus larvae may experience low ambient temperatures of around –40°C (and lower) when microhabitat is un-insulated because of low snow cover. Decreasing temperatures in winter are correlated with loss of body water from summer high levels near 2.0 to winter lows near 0.4 mg mg–1 dry mass and concomitant increases in glycerol concentrations (4–6 mol l–1) and thermal hysteresis. Finally, we provide direct evidence that Cucujus from Wiseman, Alaska, survive temperatures to –100°C."
46,10.1098/rsbl.2009.0311,https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0311,https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0311,True,"['Process resources', 'Maintain ecological community']","['Capture resources', 'Group benefit']","['Cooperate within/between species', 'Capture solids', 'Absorb and/or filter gases']","['New Phytologist', 'Biological Letters', 'PLOS One', 'Plant Signaling & Behavior']",royalsocietypublishing.org,,-1,"Tree shrew lavatories: a novel nitrogen sequestration strategy in a tropical pitcher plant Nepenthes pitcher plants are typically carnivorous, producing pitchers with varying combinations of epicuticular wax crystals, viscoelastic fluids and slippery peristomes to trap arthropod prey, especially ants. However, ant densities are low in tropical montane habitats, thereby limiting the potential benefits of the carnivorous syndrome. Nepenthes lowii, a montane species from Borneo, produces two types of pitchers that differ greatly in form and function. Pitchers produced by immature plants conform to the ‘typical’ Nepenthes pattern, catching arthropod prey. However, pitchers produced by mature N. lowii plants lack the features associated with carnivory and are instead visited by tree shrews, which defaecate into them after feeding on exudates that accumulate on the pitcher lid. We tested the hypothesis that tree shrew faeces represent a significant nitrogen (N) source for N. lowii, finding that it accounts for between 57 and 100 per cent of foliar N in mature N. lowii plants. Thus, N. lowii employs a diversified N sequestration strategy, gaining access to a N source that is not available to sympatric congeners. The interaction between N. lowii and tree shrews appears to be a mutualism based on the exchange of food sources that are scarce in their montane habitat."
47,10.1038/423923a,https://www.nature.com/articles/423923a,https://www.nature.com/articles/423923a.pdf,True,['Process resources'],['Distribute resources'],['Distribute liquids'],['Nature'],www.nature.com,,-1,"Plant hydraulics: The ascent of water When you're a large organism and made of wood, you can't have a heart or other contractile organs, but you still need to move fluids to live. How is this done?"
48,10.1242/jeb.02682,https://jeb.biologists.org/content/210/4/553,https://journals.biologists.com/jeb/article-pdf/210/4/553/1261892/553.pdf,True,"['Attach', 'Maintain structural integrity']","['Attach permanently', 'Manage structural forces']","['Manage impact', 'Manage stress/strain']",['Journal of Experimental Biology (JEB)'],jeb.biologists.org,,-1,"Adhesive recruitment by the viscous capture threads of araneoid orb-weaving spiders SUMMARY The sticky prey capture threads of orb-webs are critical to web performance. By retaining insects that strike the web, these spirally arrayed threads allow a spider time to locate and subdue prey. The viscous capture threads spun by modern orb-weaving spiders of the Araneoidea clade replaced the dry, fuzzy cribellar capture threads of the Deinopoidea and feature regularly spaced moist, adhesive droplets. The stickiness of a cribellar thread is limited by its tendency to peel from a surface after the adhesion generated at the edges of contact is exceeded. In this study we test the hypothesis that viscous thread overcomes this limitation by implementing a suspension bridge mechanism (SBM) that recruits the adhesion of multiple thread droplets. We do so by using contact plates of four widths to measure the stickiness of six species' viscous threads whose profiles range from small, closely spaced droplets to large, widely spaced droplets. The increased stickiness registered by an increased number of thread droplets supports the operation of a SBM. However, the accompanying decrease in mean per droplet adhesion shows that droplets interior to the edges of thread contact contribute successively less adhesion. Models developed from these data suggest that the suspension bridge mechanism is limited to a span of approximately 12 droplets."
